package_name,review,date,star
com.frostwire.android,Hope everything will be ok,November 21 2016,5
com.frostwire.android,Wire East to handle😁😁😁😁😁😁,November 21 2016,5
com.frostwire.android,Almost perfect Works just like the old computer version but faster! I just wish there were more songs available. Still a great program though!,November 21 2016,4
com.frostwire.android,Eh Gets very slow over time,November 21 2016,3
com.frostwire.android,Out of this word,November 21 2016,5
com.frostwire.android,Awesome It's for real,November 21 2016,5
com.frostwire.android,Excellent,November 21 2016,5
com.frostwire.android,I like it Songs have gone missing would like if that was fixed,November 21 2016,4
com.frostwire.android,Love it Great music m fast,November 20 2016,4
com.frostwire.android,LOVE I feel beautiful again.,November 20 2016,4
com.frostwire.android,It sucks,November 20 2016,1
com.frostwire.android,Need more updates and make it downloads faster plz and also its not letting me search for my songs i want to download,November 20 2016,3
com.frostwire.android,Love it Straight to the point,November 20 2016,5
com.frostwire.android,Good Good app to download music.,November 20 2016,5
com.frostwire.android,Its easy and simple I really have no complaints bc it's not gonna be perfict,November 20 2016,5
com.frostwire.android,Great app! Easy to use and has most of the songs I look for!,November 20 2016,4
com.frostwire.android,Exceeded expectations  not so much standards tho.,November 20 2016,4
com.frostwire.android,Not working good All there is  is errors for me,November 20 2016,2
com.frostwire.android,Scam big virus don't download No Good,November 20 2016,1
com.frostwire.android,Tried to find some better I couldn't I like this one Ok,November 20 2016,5
com.frostwire.android,Nothing Better,November 20 2016,5
com.frostwire.android,Highly Recommend I highly recommend this app.. It works with no lags and little adds. Its an amazing app but some songs im in love with wasnt on there. But overall GOOD JOB,November 20 2016,4
com.frostwire.android,Yay for Frostwire,November 20 2016,5
com.frostwire.android,Works good and easy use,November 20 2016,3
com.frostwire.android,Super slow  couldn't find anything I was looking for.,November 20 2016,1
com.frostwire.android,I love it! Every album I looked for was available.,November 20 2016,5
com.frostwire.android,Ok,November 20 2016,5
com.frostwire.android,Love it,November 20 2016,5
com.frostwire.android,Bad Didn't have much of my favourite songs,November 20 2016,1
