package_name,review,date,star
com.google.android.marvin.talkback,???? Works only when it wants to work,November 18 2016,3
com.google.android.marvin.talkback,Vanessa talk back Ok okay alright,November 18 2016,5
com.google.android.marvin.talkback,Does this app give ability's to hacker's for getting into a persons Android or computer?,November 18 2016,4
com.google.android.marvin.talkback,Excellent Thanks,November 18 2016,5
com.google.android.marvin.talkback,Galaxy Note 4 🌐 Iran Android ➡ 6 0 1 ★,November 18 2016,3
com.google.android.marvin.talkback,Like this app,November 18 2016,3
com.google.android.marvin.talkback,Google Talk For my account auth.,November 18 2016,5
com.google.android.marvin.talkback,Good I like it,November 18 2016,1
com.google.android.marvin.talkback,Google Talk Back Very Fascinating Application  Google Responding with Requested info Smart I like a lot!A++,November 18 2016,5
com.google.android.marvin.talkback,I Like,November 18 2016,5
com.google.android.marvin.talkback,Bettet,November 18 2016,3
com.google.android.marvin.talkback,good good,November 18 2016,5
com.google.android.marvin.talkback,Fine Fine,November 18 2016,5
com.google.android.marvin.talkback,Hate it,November 18 2016,1
com.google.android.marvin.talkback,Yuva,November 18 2016,5
com.google.android.marvin.talkback,Ni,November 18 2016,5
com.google.android.marvin.talkback,Good Ata,November 18 2016,3
com.google.android.marvin.talkback,nice love it,November 18 2016,5
com.google.android.marvin.talkback,Hi Hi,November 18 2016,5
com.google.android.marvin.talkback,WOW.....EEEEEEEE.........,November 18 2016,5
com.google.android.marvin.talkback,Sss Ssss,November 18 2016,5
com.google.android.marvin.talkback,Google talkback Bad,November 18 2016,5
com.google.android.marvin.talkback,Loved it Is good,November 18 2016,5
com.google.android.marvin.talkback,Well done Google Well done Google thanks,November 18 2016,5
com.google.android.marvin.talkback,Great app,November 18 2016,5
com.google.android.marvin.talkback,Hated it It does not work anymore,November 18 2016,1
com.google.android.marvin.talkback,Not good Annoying app,November 18 2016,2
com.google.android.marvin.talkback,I don't want it Why are mandatory apps?,November 18 2016,1
com.google.android.marvin.talkback,Problems with turn off,November 17 2016,1
com.google.android.marvin.talkback,Very bad app Worst ....,November 17 2016,1
com.google.android.marvin.talkback,StupidPeople disliking this app For those people who think this is not a good app I disagree because thats just racism!,November 17 2016,4
com.google.android.marvin.talkback,Loved It,November 17 2016,5
com.google.android.marvin.talkback,Need to speak more about a topic,November 17 2016,4
